FTR,HomeTeam,AwayTeam,B365H,B365D,B365A
D,West Brom,Arsenal,5,4,1.72
D,Brighton,Bournemouth,2.37,3.2,3.39
A,Burnley,Liverpool,7.5,4.5,1.5
A,Everton,Man United,5.5,3.5,1.8
H,Leicester,Huddersfield,1.66,3.79,6
A,Stoke,Newcastle,2.29,3.29,3.5
H,Man City,Watford,1.12,8.5,19
A,Southampton,Crystal Palace,1.9,3.39,4
A,Swansea,Tottenham,12,4.75,1.3
H,West Ham,West Brom,1.9,3.39,4.09
D,Arsenal,Chelsea,2.6,3.39,2.6
D,Tottenham,West Ham,1.25,6,10
D,Chelsea,Leicester,1.3,5.75,12
H,Crystal Palace,Burnley,2,3.29,4.5
A,Huddersfield,West Ham,2.62,3.1,3.1
D,Newcastle,Swansea,1.95,3.39,4.5
H,Tottenham,Everton,1.28,6,13
D,Watford,Southampton,2.5,3.39,3
H,West Brom,Brighton,2.14,3,4.33
H,Bournemouth,Arsenal,4.75,4.2,1.75
H,Liverpool,Man City,3.1,3.75,2.29
H,Man United,Stoke,1.22,7,15
H,Arsenal,Crystal Palace,1.5,4.75,7
A,Brighton,Chelsea,6.5,3.89,1.61
A,Burnley,Man United,7.5,3.89,1.57
D,Everton,West Brom,2.14,3.2,4
H,Leicester,Watford,1.85,3.89,4.33
H,Man City,Newcastle,1.12,10,26
H,Stoke,Huddersfield,2.04,3.39,4.09
D,West Ham,Bournemouth,2,3.6,4
D,Southampton,Tottenham,5.75,4.09,1.64
H,Swansea,Liverpool,12,5.75,1.3
A,Huddersfield,Liverpool,12,5.75,1.3
H,Swansea,Arsenal,7,4.59,1.5
D,West Ham,Crystal Palace,3.1,3.25,2.54
A,Chelsea,Bournemouth,1.28,6.5,11
H,Everton,Leicester,3,3.2,2.62
H,Man City,West Brom,1.14,10,21
D,Newcastle,Burnley,2.2,3.2,3.89
D,Southampton,Brighton,1.75,3.5,6
D,Stoke,Watford,2.25,3.5,3.39
H,Tottenham,Man United,2.35,3.29,3.39
H,Arsenal,Everton,1.3,5.75,12
H,Bournemouth,Stoke,1.9,3.7,4.33
H,Brighton,West Ham,2.35,3,3.7
D,Burnley,Man City,13,6,1.28
D,Leicester,Swansea,1.8,3.6,5.25
H,Man United,Huddersfield,1.16,8.5,19
A,West Brom,Southampton,2.54,3.2,3.1
D,Crystal Palace,Newcastle,2.04,3.39,4.2
D,Liverpool,Tottenham,2.1,3.75,3.6
H,Watford,Chelsea,6.25,4,1.61
H,Everton,Crystal Palace,2.25,3.25,3.2
H,Man City,Leicester,1.19,6.5,13
D,Stoke,Brighton,2.2,3.2,3.39
H,Swansea,Burnley,2.37,3,3.25
H,Tottenham,Arsenal,2,3.6,3.5
H,West Ham,Watford,2.5,3.29,2.79
H,Huddersfield,Bournemouth,3.25,3.2,2.25
H,Newcastle,Man United,5.5,3.75,1.61
A,Southampton,Liverpool,4.2,3.79,1.8
H,Chelsea,West Brom,1.36,4.75,8
D,Bournemouth,Newcastle,2.1,3.5,3.79
H,Brighton,Swansea,2.14,3.25,4
D,Burnley,Southampton,2.89,3.1,2.79
D,Leicester,Stoke,1.72,3.89,5.25
H,Liverpool,West Ham,1.22,7.5,13
H,Watford,Everton,2.25,3.39,3.5
A,West Brom,Huddersfield,1.95,3.29,4.75
A,Crystal Palace,Tottenham,7.5,4.5,1.5
H,Man United,Chelsea,2.29,3.25,3.5
A,Arsenal,Man City,4.5,4,1.72
H,Burnley,Everton,2.5,3.1,3.29
D,Leicester,Bournemouth,1.85,3.75,4.5
H,Liverpool,Newcastle,1.22,7,15
D,Southampton,Stoke,1.75,3.75,5.25
H,Swansea,West Ham,2.6,3.25,3
H,Tottenham,Huddersfield,1.19,7.5,17
H,Watford,West Brom,2.14,3.29,3.89
H,Brighton,Arsenal,4.2,3.79,1.9
H,Man City,Chelsea,1.61,4.2,6
A,Crystal Palace,Man United,7,4,1.57
H,Chelsea,Crystal Palace,1.3,5.75,12
H,Everton,Brighton,2.2,3.2,3.89
D,Huddersfield,Swansea,2.54,3.1,3.2
H,Man United,Liverpool,2.75,3.39,2.75
H,Newcastle,Southampton,2.79,3.2,2.79
A,West Brom,Leicester,3,3.25,2.6
A,West Ham,Burnley,2.29,3.2,3.6
H,Arsenal,Watford,1.44,5,7.5
A,Bournemouth,Tottenham,6.5,4.5,1.55
A,Stoke,Man City,15,6.5,1.25
H,Bournemouth,West Brom,1.83,3.6,5
A,Huddersfield,Crystal Palace,3,3.1,2.7
H,Liverpool,Watford,1.19,8,15
A,Stoke,Everton,2.5,3.29,3.1
A,Brighton,Leicester,2.7,3.2,2.62
A,Crystal Palace,Liverpool,7,4.33,1.44
A,Everton,Man City,9,5,1.33
H,Man United,Swansea,1.25,6,10
H,Newcastle,Huddersfield,1.75,3.39,5
D,Watford,Bournemouth,2.29,3.29,3.1
A,West Brom,Burnley,2.5,3,3.1
H,West Ham,Southampton,2.7,3.25,2.6
H,Arsenal,Stoke,1.28,5.5,10
A,Chelsea,Tottenham,2.29,3.29,3.1
D,Bournemouth,Crystal Palace,2.5,3.39,3
D,Brighton,Huddersfield,1.85,3.5,5
D,Everton,Liverpool,4.2,3.75,1.9
A,Leicester,Newcastle,1.95,3.6,4.2
A,Man City,Man United,1.89,3.79,4.2
A,Stoke,Tottenham,11,5.5,1.33
A,Watford,Burnley,2.39,3.2,3.39
D,West Brom,Swansea,2.37,3.2,3.39
H,Arsenal,Southampton,1.57,4.5,6
D,Chelsea,West Ham,1.28,6,12
H,Burnley,Leicester,2.62,3.2,3
H,Crystal Palace,Brighton,1.9,3.5,4.75
H,Huddersfield,Watford,2.62,3.25,3
H,Liverpool,Bournemouth,1.25,7,12
A,Southampton,Chelsea,4.5,3.75,1.85
D,Swansea,Everton,2.54,3.25,3.1
A,Tottenham,Man City,2.62,3.6,2.7
A,Man United,West Brom,1.18,8,19
H,Newcastle,Arsenal,3.29,3.6,2.25
D,West Ham,Stoke,2,3.6,4
D,Brighton,Tottenham,6.5,4.33,1.55
A,Bournemouth,Man United,5,3.89,1.75
A,Burnley,Chelsea,4,3.39,1.9
D,Leicester,Southampton,2.25,3.29,3.2
D,Watford,Crystal Palace,2.89,3.39,2.54
D,West Brom,Liverpool,7.5,4.5,1.5
H,Arsenal,West Ham,1.55,4.59,6
H,Man City,Swansea,1.14,9,23
D,Stoke,Burnley,2.29,3.29,3.5
H,Everton,Newcastle,2.29,3.39,3.39
D,Burnley,Brighton,2.25,3.2,3.7
H,Crystal Palace,Leicester,2.04,3.6,3.79
A,Huddersfield,Everton,2.62,3.1,3.1
D,Liverpool,Stoke,1.33,5.75,10
A,Newcastle,West Brom,1.85,3.6,4.75
H,Southampton,Bournemouth,1.72,4,5
A,Swansea,Chelsea,7,4.33,1.53
H,Man United,Arsenal,1.44,4.75,8
A,West Ham,Man City,10,5.75,1.33
H,Tottenham,Watford,1.16,8.5,21
H,Brighton,Man United,4.75,3.6,1.85
H,Bournemouth,Swansea,2.1,3.6,3.7
D,Everton,Southampton,2.89,3.29,2.62
A,Leicester,West Ham,2.25,3.5,3.39
A,Stoke,Crystal Palace,2.7,3.39,2.79
H,Watford,Newcastle,2.37,3.39,3.2
H,West Brom,Tottenham,8,4.75,1.44
H,Arsenal,Burnley,1.57,4.2,6.5
H,Chelsea,Liverpool,2.25,3.6,3.29
D,Man City,Huddersfield,1.08,13,34
A,Swansea,Southampton,3.1,3.25,2.54
D,Chelsea,Huddersfield,1.16,8.5,19
H,Leicester,Arsenal,3.75,3.79,2
H,Man City,Brighton,1.12,10,27
H,Tottenham,Newcastle,1.18,8.5,17
D,West Ham,Man United,4.75,3.79,1.8
A,Burnley,Bournemouth,2.14,3.5,3.6
H,Crystal Palace,West Brom,1.8,3.79,4.75
A,Huddersfield,Arsenal,6,4.33,1.6
H,Liverpool,Brighton,1.19,8,15
H,Man United,Watford,1.39,5.25,8.5
H,Newcastle,Chelsea,6.5,4.2,1.6
A,Southampton,Man City,9,5,1.39
A,Swansea,Stoke,1.9,3.79,4.2
H,Tottenham,Leicester,1.33,6,9
H,West Ham,Everton,2.45,3.5,3
H,Man United,Leicester,1.57,3.9,7.5
H,Bournemouth,Cardiff,1.9,3.6,4.5
A,Fulham,Crystal Palace,2.5,3.4,3
A,Huddersfield,Chelsea,6.5,4,1.61
A,Newcastle,Tottenham,3.9,3.5,2.04
H,Watford,Brighton,2.37,3.2,3.4
D,Wolves,Everton,2.37,3.3,3.3
A,Arsenal,Man City,4,3.8,1.95
H,Liverpool,West Ham,1.25,6.5,14
D,Southampton,Burnley,1.85,3.5,5
D,Cardiff,Newcastle,3.25,3.1,2.54
H,Chelsea,Arsenal,1.8,4,4.5
H,Everton,Southampton,1.9,3.5,4.75
H,Leicester,Wolves,2.04,3.5,3.9
H,Tottenham,Fulham,1.28,6,12
A,West Ham,Bournemouth,2.1,3.6,3.7
H,Brighton,Man United,5.5,3.6,1.75
A,Burnley,Watford,2.45,3.1,3.4
H,Man City,Huddersfield,1.1,13,26
A,Crystal Palace,Liverpool,7,5,1.44
H,Arsenal,West Ham,1.36,5.5,9
D,Bournemouth,Everton,2.62,3.6,2.75
D,Huddersfield,Cardiff,2.37,3,3.7
H,Liverpool,Brighton,1.16,8.5,19
A,Southampton,Leicester,2.45,3.2,3.25
D,Wolves,Man City,11,6.5,1.28
H,Fulham,Burnley,2,3.4,4.33
A,Newcastle,Chelsea,5.75,4,1.66
H,Watford,Crystal Palace,2.6,3.25,3
A,Man United,Tottenham,2.62,3.3,2.9
D,Brighton,Fulham,2.3,3.4,3.4
H,Chelsea,Bournemouth,1.3,6,11
A,Crystal Palace,Southampton,2,3.5,4.2
D,Everton,Huddersfield,1.53,4.2,7.5
A,Leicester,Liverpool,7.5,5,1.44
H,Man City,Newcastle,1.11,11,26
A,West Ham,Wolves,2.6,3.4,2.87
A,Burnley,Man United,6,3.75,1.7
A,Cardiff,Arsenal,6.5,4.33,1.57
H,Watford,Tottenham,5.5,4.2,1.64
H,Bournemouth,Leicester,2.45,3.5,3
H,Chelsea,Cardiff,1.18,8,19
A,Huddersfield,Crystal Palace,3.3,3.1,2.5
H,Man City,Fulham,1.12,10,26
A,Newcastle,Arsenal,4.2,3.8,1.9
A,Tottenham,Liverpool,3,3.6,2.4
A,Watford,Man United,4.33,3.6,1.95
A,Everton,West Ham,2,3.75,3.9
H,Wolves,Burnley,1.75,3.6,5.75
D,Southampton,Brighton,2.1,3.4,3.9
A,Brighton,Tottenham,5,4,1.75
H,Burnley,Bournemouth,3,3.4,2.5
A,Cardiff,Man City,23,8,1.16
D,Crystal Palace,Newcastle,2.14,3.4,3.75
D,Fulham,Watford,2.54,3.5,2.9
H,Leicester,Huddersfield,1.61,4,6.5
H,Liverpool,Southampton,1.2,7.5,17
D,Man United,Wolves,1.57,4.33,6.5
H,Arsenal,Everton,1.44,5,7.5
D,West Ham,Chelsea,6,4.5,1.57
H,Arsenal,Watford,1.44,5.1,7
D,Chelsea,Liverpool,2.8,3.6,2.54
H,Everton,Fulham,1.75,4.2,4.75
A,Huddersfield,Tottenham,8.5,4.5,1.44
H,Man City,Brighton,1.1,12,34
A,Newcastle,Leicester,2.6,3.3,3
H,West Ham,Man United,4.5,3.8,1.85
H,Wolves,Southampton,1.8,3.6,5.25
A,Cardiff,Burnley,2.62,3,3.2
H,Bournemouth,Crystal Palace,2.25,3.5,3.4
H,Brighton,West Ham,2.7,3.3,2.87
D,Burnley,Huddersfield,2.14,3.1,4.2
A,Crystal Palace,Wolves,3,3.2,2.62
A,Leicester,Everton,2.2,3.4,3.6
H,Man United,Newcastle,1.44,4.5,9
H,Tottenham,Cardiff,1.22,7,15
A,Watford,Bournemouth,2.14,3.6,3.5
A,Fulham,Arsenal,5.25,4.33,1.66
D,Liverpool,Man City,2.54,3.6,2.8
A,Southampton,Chelsea,6,4.1,1.61
D,Bournemouth,Southampton,2.04,3.7,3.75
H,Cardiff,Fulham,2.5,3.5,2.95
D,Chelsea,Man United,1.75,3.8,5.25
A,Huddersfield,Liverpool,11,5.5,1.33
H,Man City,Burnley,1.08,13,34
A,Newcastle,Brighton,2.2,3.25,3.8
A,West Ham,Tottenham,4.1,3.9,1.9
A,Wolves,Watford,1.75,3.75,5.25
H,Everton,Crystal Palace,1.85,3.6,4.75
H,Arsenal,Leicester,1.53,4.5,6.5
H,Brighton,Wolves,3.2,3.2,2.5
A,Fulham,Bournemouth,2.9,3.75,2.4
D,Leicester,West Ham,2.1,3.5,3.8
H,Liverpool,Cardiff,1.11,11,26
D,Southampton,Newcastle,2.1,3.4,3.9
H,Watford,Huddersfield,1.75,3.75,5.25
A,Burnley,Chelsea,11,5,1.36
D,Crystal Palace,Arsenal,4.75,4.1,1.75
H,Man United,Everton,1.72,3.9,5.25
A,Tottenham,Man City,4.75,4.1,1.75
D,Arsenal,Liverpool,3.9,3.9,1.95
A,Bournemouth,Man United,3.6,3.7,2.1
A,Cardiff,Leicester,3.8,3.4,2.14
H,Everton,Brighton,1.61,4,6.5
H,Newcastle,Watford,2.75,3.25,2.8
H,West Ham,Burnley,1.75,3.75,5.25
A,Wolves,Tottenham,3.1,3.4,2.45
H,Chelsea,Crystal Palace,1.25,6.75,13
H,Man City,Southampton,1.11,11,29
H,Huddersfield,Fulham,2.3,3.5,3.3
H,Cardiff,Brighton,2.6,3.1,3.1
A,Crystal Palace,Tottenham,4.5,3.75,1.85
D,Huddersfield,West Ham,3.4,3.25,2.35
D,Leicester,Burnley,1.5,4.33,8
H,Newcastle,Bournemouth,2.9,3.4,2.6
D,Southampton,Watford,2.5,3.3,3.1
D,Arsenal,Wolves,1.66,4.2,5.25
D,Chelsea,Everton,1.4,5.25,8.5
H,Liverpool,Fulham,1.11,11,26
H,Man City,Man United,1.4,5.25,8.5
D,Brighton,Leicester,2.9,3.4,2.6
H,Everton,Cardiff,1.4,5,9
H,Fulham,Southampton,2.62,3.5,2.8
D,Man United,Crystal Palace,1.4,5.25,8
H,Tottenham,Chelsea,2.8,3.5,2.6
A,Watford,Liverpool,6.5,4.33,1.55
A,West Ham,Man City,13,6.5,1.25
A,Bournemouth,Arsenal,3.5,3.75,1.95
A,Wolves,Huddersfield,1.5,4.33,8
A,Burnley,Newcastle,2.9,3.2,2.75
H,Cardiff,Wolves,3.8,3.25,2.2
H,Crystal Palace,Burnley,1.61,3.9,6.5
A,Huddersfield,Brighton,2.5,3,3.4
H,Leicester,Watford,2.25,3.3,3.6
H,Man City,Bournemouth,1.11,11,26
A,Newcastle,West Ham,2.5,3.3,3.1
D,Southampton,Man United,4.33,3.6,1.95
H,Arsenal,Tottenham,2.62,3.6,2.75
H,Chelsea,Fulham,1.18,8,17
H,Liverpool,Everton,1.4,5,9
H,Bournemouth,Huddersfield,1.66,3.8,6
H,Brighton,Crystal Palace,3,3.1,2.7
A,Watford,Man City,11,6,1.3
H,West Ham,Cardiff,1.66,4,5.75
A,Burnley,Liverpool,14,5.75,1.28
D,Everton,Newcastle,1.6,4,6.5
D,Fulham,Leicester,3,3.5,2.45
D,Man United,Arsenal,2.45,3.5,3
H,Tottenham,Southampton,1.36,5.25,9.5
H,Wolves,Chelsea,5,3.75,1.8
H,Arsenal,Huddersfield,1.28,6,12
A,Bournemouth,Liverpool,5.75,4.5,1.6
H,Burnley,Brighton,2.9,3.2,2.75
H,Cardiff,Southampton,2.9,3.25,2.7
H,Chelsea,Man City,4,3.8,1.95
A,Leicester,Tottenham,3.8,3.75,2
H,Man United,Fulham,1.33,5.75,10
H,West Ham,Crystal Palace,2.3,3.4,3.4
A,Newcastle,Wolves,2.9,3.2,2.7
D,Everton,Watford,1.8,3.75,5
H,Crystal Palace,Leicester,2.62,3.2,3
A,Fulham,West Ham,2.9,3.6,2.5
A,Huddersfield,Newcastle,2.6,3.1,3.1
H,Man City,Everton,1.22,7.5,13
H,Tottenham,Burnley,1.18,8,19
H,Watford,Cardiff,1.64,3.9,6
H,Wolves,Bournemouth,1.95,3.6,4.33
A,Brighton,Chelsea,7.5,4.5,1.5
H,Liverpool,Man United,1.57,4.5,6
H,Southampton,Arsenal,4.1,3.9,1.9
A,Wolves,Liverpool,7,4,1.57
H,Arsenal,Burnley,1.25,6.5,15
H,Bournemouth,Brighton,1.9,3.7,4.33
A,Cardiff,Man United,6.5,4.2,1.57
A,Chelsea,Leicester,1.33,5.5,11
A,Huddersfield,Southampton,3.1,3.1,2.6
A,Man City,Crystal Palace,1.14,10,21
D,Newcastle,Fulham,2,3.6,4
A,West Ham,Watford,2.37,3.5,3.1
A,Everton,Tottenham,3.25,3.5,2.3
D,Brighton,Arsenal,5.25,3.9,1.72
A,Burnley,Everton,4.33,3.5,1.95
D,Crystal Palace,Cardiff,1.66,4,5.75
D,Fulham,Wolves,3.25,3.4,2.37
H,Leicester,Man City,9.5,5.25,1.36
H,Liverpool,Newcastle,1.16,8.5,19
H,Man United,Huddersfield,1.25,6.5,15
H,Tottenham,Bournemouth,1.36,5.5,9
A,Watford,Chelsea,5.25,3.8,1.75
A,Southampton,West Ham,2.3,3.5,3.3
H,Brighton,Everton,3.25,3.4,2.14
H,Fulham,Huddersfield,2,3.4,3.75
A,Leicester,Cardiff,1.55,4,6
H,Liverpool,Arsenal,1.5,4.5,5.75
A,Tottenham,Wolves,1.33,5,8.5
D,Watford,Newcastle,1.85,3.6,4
H,Burnley,West Ham,3.3,3.2,2.25
A,Crystal Palace,Chelsea,4.75,4,1.66
H,Man United,Bournemouth,1.33,4.75,10
A,Southampton,Man City,10,5.25,1.3
H,Arsenal,Fulham,1.33,5.75,9.5
A,Cardiff,Tottenham,7.5,4.5,1.5
A,Everton,Leicester,2,3.5,4.2
D,Bournemouth,Watford,2.6,3.6,2.75
D,Chelsea,Southampton,1.28,6.5,11
A,Huddersfield,Burnley,2.14,3.1,4.2
A,Newcastle,Man United,6,4.2,1.61
D,West Ham,Brighton,1.95,3.75,4
A,Wolves,Crystal Palace,2,3.4,4.33
H,Man City,Liverpool,2.04,3.8,3.6
A,Brighton,Liverpool,11,6,1.3
H,Burnley,Fulham,2.4,3.3,3.25
D,Cardiff,Huddersfield,2.25,3.25,3.6
H,Chelsea,Newcastle,1.22,7,15
A,Crystal Palace,Watford,2.25,3.4,3.5
A,Leicester,Southampton,1.95,3.5,4.33
H,West Ham,Arsenal,3.5,4,2.05
H,Everton,Bournemouth,1.75,4,4.8
A,Tottenham,Man United,2.05,3.7,3.75
H,Man City,Wolves,1.18,8,17
H,Arsenal,Chelsea,3.1,3.6,2.37
H,Bournemouth,West Ham,2.37,3.7,3
H,Liverpool,Crystal Palace,1.2,7.5,17
H,Man United,Brighton,1.3,5.75,12
H,Newcastle,Cardiff,1.95,3.4,4.5
H,Southampton,Everton,2.75,3.4,2.7
D,Watford,Burnley,1.65,4,5.75
H,Wolves,Leicester,2.37,3.2,3.4
A,Fulham,Tottenham,5.25,3.8,1.75
A,Huddersfield,Man City,21,8.5,1.16
H,Arsenal,Cardiff,1.22,7,15
H,Fulham,Brighton,2.37,3.3,3.3
A,Huddersfield,Everton,4,3.3,2.1
D,Man United,Burnley,1.28,6,12
H,Newcastle,Man City,19,8,1.18
H,Wolves,West Ham,2.1,3.5,3.75
H,Bournemouth,Chelsea,5.25,4.2,1.66
D,Liverpool,Leicester,1.22,7,15
D,Southampton,Crystal Palace,2.4,3.4,3.2
H,Tottenham,Watford,1.66,4,5.75
